Entity,Code,Day,people_vaccinated_per_hundred,145610-annotations
New Zealand,NZL,2021-07-10,15.89,
New Zealand,NZL,2021-07-11,15.97,
New Zealand,NZL,2021-07-12,16.16,
New Zealand,NZL,2021-07-13,16.39,
New Zealand,NZL,2021-07-14,16.65,
New Zealand,NZL,2021-07-15,16.91,
New Zealand,NZL,2021-07-16,17.14,
New Zealand,NZL,2021-07-17,17.32,
New Zealand,NZL,2021-07-18,17.43,
New Zealand,NZL,2021-07-19,17.69,
New Zealand,NZL,2021-07-20,18.05,
New Zealand,NZL,2021-07-21,18.46,
New Zealand,NZL,2021-07-22,18.85,
New Zealand,NZL,2021-07-23,19.23,
New Zealand,NZL,2021-07-24,19.57,
New Zealand,NZL,2021-07-25,19.74,
New Zealand,NZL,2021-07-26,20.14,
New Zealand,NZL,2021-07-27,20.68,
New Zealand,NZL,2021-07-28,21.25,
New Zealand,NZL,2021-07-29,21.81,
New Zealand,NZL,2021-07-30,22.42,
New Zealand,NZL,2021-07-31,22.99,
New Zealand,NZL,2021-08-01,23.35,
New Zealand,NZL,2021-08-02,23.85,
New Zealand,NZL,2021-08-03,24.44,
New Zealand,NZL,2021-08-04,25.07,
New Zealand,NZL,2021-08-05,25.64,
New Zealand,NZL,2021-08-06,26.23,
New Zealand,NZL,2021-08-07,26.78,
New Zealand,NZL,2021-08-08,27.09,
New Zealand,NZL,2021-08-09,27.61
